Model,SolvedOptimally,SolutionCount,ObjectiveBound,SolveTime,TimeOut,OptimalityGap,BestObjective
blockorder21,True,6,12.39999999996543,0.38892483711242676,False,0.0,12.400000000002365
blockorder22,True,6,4.999999999975692,0.13341879844665527,False,0.0,4.9999999999874944
blockorder23,True,5,-7.341682817241235e-12,0.29311585426330566,False,0.0,-6.821210263296962e-12
blockorder24,True,5,5.828226790072222e-12,0.3177180290222168,False,0.0,2.2737367544323206e-12
blockorder25,True,2,1.7999999999887395,0.13364219665527344,False,0.0,1.8000000000176897
blockorder26,True,1,0.599999999985604,0.356781005859375,False,0.0,0.59999999999377
blockorder27,True,1,-1.1307399461202294e-11,0.1820979118347168,False,0.0,-9.094947017729282e-12
blockorder28,True,3,0.9000000000041091,0.057480812072753906,False,0.0,0.8999999999934971
blockorder29,True,4,9.099999999988846,0.23957300186157227,False,0.0,9.099999999995134
blockorder30,True,1,38.7000000000004,0.08199691772460938,False,0.0,38.70000000000687
blockorder31,True,2,1.4999999999984888,0.05298113822937012,False,0.0,1.4999999999992042
